ft,bt,km,transmission,ownerNo,oem,model,modelYear,variantName,price,InsuranceValidity,RTO,Mileage,Color,EngineType,Displacement,NoofCylinder,FuelSuppySystem,TurboCharger,SuperCharger,GearBox,DriveType, SeatingCapacity,SteeringType,FrontBrakeType,RearBrakeType,TyreType,NoDoorNumbers,city
Petrol,Sedan,70000,Automatic,3,Toyota,Toyota Camry,2014,Hybrid,975000,Third Party insurance,WB02,19.16,White,2AR FXE Petrol Engine ,2494,4,Electronic Fuel Injection(EFI),No,No,6,FWD,5,Power,Ventilated Disc,Solid Disc,"Tubeless,Radial",4,Kolkata
Petrol,Hatchback,23981,Manual,1,Datsun,Datsun RediGO,2017,T Option,266000,Comprehensive,WB24,22.7,Red,0.8L Petrol Engine,799,3,MPFi,No,No,5,2WD,5,Power,Disc,Drum,"Tubeless,Radial",5,Kolkata
Petrol,SUV,7100,Automatic,1,Renault,Renault Kiger,2021,RXT AMT,595000,Comprehensive,WB06,19.03,Blue,1.0L energy,999,3,MPFi,No,No,5,2WD,5,Electric,Disc,Drum,"Tubeless, Radial",5,Kolkata
Petrol,Sedan,71574,Manual,2,Hyundai,Hyundai i20,2011,1.2 Sportz,223000,Third Party,WB06,17.0,Red,In-Line Engine,1197,4,MPFI,No,No,5,FWD,5,Power,Disc,Drum,"Tubeless,Radial",5,Kolkata
Diesel,Hatchback,50000,Automatic,2,Audi,Audi Q3,2014,35 TDI Quattro Premium,1200000,Third Party insurance,WB02,15.73,White,TDI Diesel Engine,1968,4,CRDI,Yes,No,7- S-Tronic ,AWD,5,Power,Ventilated Disc,Drum,"Tubeless,Radial",5,Kolkata
Petrol,SUV,35629,Automatic,1,Maruti,Maruti Wagon R,2018,VXI AMT 1.2,425000,Comprehensive,WB18,20.52,Brown,K12M Petrol Engine,1197,4,MPFI,No,No,5,FWD,5,Power,Disc,Drum,"Tubeless Tyres, Radial",5,Kolkata
Petrol,Sedan,11476,Automatic,2,Hyundai,Hyundai Santro,2020,Sportz AMT,596000,Comprehensive,WB02,20.3,Silver,1.1 L Petrol,1086,4,MPFI,No,No,5,FWD,5,Electric,Disc,Drum,"Tubeless,Radial",5,Kolkata
Petrol,Hatchback,31000,Manual,1,Renault,Renault KWID,2018,RXT Optional,250000,Third Party insurance,WB02,25.17,Silver,Petrol Engine,799,3,MPFi,No,No,5,FWD,5,Power,Disc,Drum,"Tubeless,Radial",5,Kolkata
Petrol,SUV,41005,Manual,2,Maruti,Maruti Swift Dzire,2011,VXi,221000,Comprehensive,WB24,17.5,Silver,In-Line Engine,1298,4,MPFI,No,No,5,2 WD,5,Power,Ventilated Disc,Drum,"Tubeless,Radial",4,Kolkata
Petrol,Hatchback,60055,Manual,1,Maruti,Maruti Wagon R,2010,LX BS IV,208000,Third Party,WB06,18.9,Red,K Series Petrol Engine,998,3,MPFI,No,No,5,FWD,5,Manual,Ventilated Disc,Drum,"Tubeless, Radial",4,Kolkata
Petrol,Hatchback,65005,Manual,1,Maruti,Maruti Swift,2013,VXI,311000,Comprehensive,WB22,18.6,Grey,K Series Petrol Engine,1197,4,MPFI,No,No,5,FWD,5,Power,Ventilated Disc,Drum,"Tubeless,Radial",5,Kolkata
Petrol,Hatchback,2657,Manual,1,Renault,Renault KWID,2022,RXT,464000,Third Party,WB08,22.3,Red,Petrol Engine,799,3,MPFi,No,No,5,FWD,5,Electric,Disc,Drum,"Tubeless,Radial",5,Kolkata
Petrol,Hatchback,16000,Manual,1,Hyundai,Hyundai i10,2011,Magna 1.1L,205000,Comprehensive,WB06,19.81,Grey,IRDE2 Engine,1086,4,MPFI,No,No,5,FWD,5,Power,Ventilated Disc,Drum,Tubeless,5,Kolkata
Diesel,SUV,7426,Automatic,1,Tata,Tata Harrier,2023,XZA Plus AT BSVI,2175000,Comprehensive,WB02,14.6,Red,Kryotec 2.0 L Turbocharged Engine,1956,4,MPFI,Yes,No,6,FWD,5,Power,Disc,Disc,"Tubeless, Radial",5,Kolkata
Petrol,Hatchback,27046,Automatic,1,Maruti,Maruti Baleno,2018,1.2 CVT Delta,643000,Comprehensive,WB08,21.4,Silver,VVT Petrol Engine,1197,4,MPFI,No,No,CVT,FWD,5,Power,Disc,Drum,"Tubeless,Radial",5,Kolkata
Petrol,Hatchback,9000,Manual,1,Maruti,Maruti Wagon R,2022,LXI BSVI,545000,Comprehensive,WB06,24.35,Brown,K10C,998,3,Direct Injection,Yes,No,6,4WD,5,Power,Disc,Drum,"Tubeless, Radial",5,Kolkata
Petrol,Hatchback,17000,Manual,1,Hyundai,Hyundai i20,2022,Sportz BSVI,750000,Third Party insurance,WB02,21.0,Grey,1.2 l Kappa petrol,1197,4,Direct Injection,No,No,5,4WD,5,Electric,Disc,Drum,"Tubeless, Radial",5,Kolkata
Diesel,SUV,49200,Automatic,1,Jeep,Jeep Compass,2021,2.0 Longitude Option AT,1650000,Comprehensive,WB06,17.1,Grey,2.0-Litre 4-Cyl Multijet II Engine,1956,4,CRDI,Yes,No,9,4X4,5,power,Disc,Discs,"Radial, Tubless",5,Kolkata
Petrol,Hatchback,35000,Manual,2,Hyundai,Hyundai i10,2009,Era,225000,Comprehensive,WB20,19.81,Red,IRDE2 Engine,1086,4,MPFI,No,No,5,FWD,5,Power,Ventilated Disc,Drum,Tubeless,5,Kolkata
Petrol,Hatchback,54044,Manual,1,Maruti,Maruti Alto K10,2017,VXI Optional,315000,Third Party,WB12,23.95,Silver,K Series Petrol Engine,998,3,MPFi,No,No,5,FWD,5,Power,Ventilated Disc,Drum,"Tubeless,Radial",5,Kolkata
Petrol,SUV,6500,Manual,1,Tata,Tata Nexon,2021,XM BSVI,799000,Third Party insurance,WB10,17.33,Green,1.2l Turbocharged Revotron Engine,1199,3,MPFi,No,No,6,FWD,5,Electric,Disc,Drum,"Tubeless,Radial",5,Kolkata
Petrol,Sedan,29159,Manual,1,Maruti,Maruti Ciaz,2017,VXi Option,526000,Zero Dep,WB06,20.73,Red,k14B VVT Engine,1373,4,MPFI,No,No,5,FWD,5,Power,Ventilated Disc,Drum,"Tubeless, Radial",4,Kolkata
Petrol,Sedan,31968,Automatic,1,Honda,Honda City,2016,i VTEC CVT VX,675000,Comprehensive,WB02,18.0,Brown,i VTEC Engine,1497,4,PGM-Fi,No,No,5  CVT,FWD,5,Power,Disc,Drum,"Tubeless,Radial",4,Kolkata
Petrol,Hatchback,44150,Manual,2,Hyundai,Hyundai Grand i10 Nios,2019,Asta,612000,Third Party,WB02,20.7,Blue,1.2 Kappa petrol,1197,4,PGM-Fi,No,No,5,FWD,5,Electric,Disc,Drum,"Tubeless, Radial",5,Kolkata
Petrol,Hatchback,60000,Manual,1,Hyundai,Hyundai i20,2010,1.2 Magna Opt,189000,Third Party insurance,WB02,17.0,Others,In-Line Engine,1197,4,MPFI,No,No,5,FWD,5,Power,Disc,Drum,"Tubeless,Radial",5,Kolkata
Petrol,SUV,25009,Automatic,1,Hyundai,Hyundai Creta,2018,1.6 SX Automatic,990000,Comprehensive,WB20,14.8,Grey,VTVT Petrol Engine,1591,4,MPFi,No,No,6,FWD,5,Power,Disc,Drum,Tubeless,5,Kolkata
Petrol,Hatchback,46469,Manual,1,Maruti,Maruti Swift,2020,VXI,534000,Zero Dep,WB06,22.38,Silver,K Series Dual jet,1197,4,MPFi,No,No,5,FWD,5,Electric,Disc,Drum,"Radial, Tubeless",5,Kolkata
Petrol,SUV,45000,Manual,1,Hyundai,Hyundai Creta,2018,1.6 VTVT SX Plus,800000,Third Party insurance,WB02,13.0,White,VTVT Petrol Engine,1591,4,MPFi,No,No,6,FWD,5,Power,Disc,Drum,Tubeless,5,Kolkata
Petrol,Sedan,31577,Manual,1,Hyundai,Hyundai Verna,2020,SX Opt,983000,Third Party,WB02,17.7,Black,1.5 l MPi petrol,1497,4,MPi,No,No,6,FWD,5,Electric,Disc,Drum,"Tubeless, Radial",4,Kolkata
Petrol,Hatchback,56005,Automatic,1,Maruti,Maruti Celerio,2014,VXI AT,281000,Comprehensive,WB08,23.1,Red,K10B Engine,998,3,MPFi,No,No,5,FWD,5,Power,Ventilated Disc,Drum,"Tubeless, Radial",5,Kolkata
Petrol,Hatchback,10005,Manual,1,Maruti,Maruti Wagon R,2021,VXI,535000,Comprehensive,WB96,21.79,Brown,K10B Petrol Engine,998,3,MPFI,No,No,5,FWD,5,Power,Disc,Drum,"Tubeless Tyres, Radial",5,Kolkata
Petrol,Hatchback,41163,Manual,1,Hyundai,Hyundai Grand i10,2017,1.2 Kappa Asta,475000,Comprehensive,WB06,18.9,Red,Kappa VTVT Petrol Engine,1197,4,MPFI,No,No,5,FWD,5,Power,Disc,Drum,Tubeless,5,Kolkata
Petrol,Sedan,3800,Manual,1,Toyota,Toyota Yaris,2019,V,695000,Comprehensive,WB20,17.1,Red,1.5 Dual VVT-i Engine,1496,4,EFI,No,No,6,FWD,5,Power,Disc,Disc,"Tubless, Radial",4,Kolkata
Petrol,Hatchback,34124,Manual,1,Maruti,Maruti Wagon R,2018,VXI,395000,Comprehensive,WB08,21.79,Blue,K10B Petrol Engine,998,3,MPFI,No,No,5,FWD,5,Power,Disc,Drum,"Tubeless Tyres, Radial",5,Kolkata
Diesel,Hatchback,50000,Manual,2,Hyundai,Hyundai i20,2012,1.4 CRDi Magna,200000,Third Party insurance,WB06,21.9,Others,Diesel,1396,4,CRDI,No,No,5,FWD,5,Power,Disc,Disc,"Tubeless,Radial",5,Kolkata
Petrol,Sedan,48168,Manual,1,Honda,Honda City,2018,i-VTEC VX,750000,Comprehensive,WB02,17.4,Maroon,i VTEC Engine,1497,4,PGM-Fi,No,No,5,FWD,5,Power,Ventilated Disc,Drum,"Tubeless,Radial",4,Kolkata
Petrol,Sedan,56357,Manual,1,Maruti,Maruti Swift Dzire,2018,LXI,480000,Third Party insurance,WB26,19.0,White,K Series VVT Engine,1197,4,MPFI,No,No,5,FWD,5,Power,Ventilated Disc,Drum,"Tubeless,Radial",4,Kolkata
