it,ft,bt,km,transmission,ownerNo,owner,oem,model,RearBrakeType,TyreType,AlloyWheelSize,EngineType,NoofCylinder,FuelSuppySystem,NoDoorNumbers,Color,TurboCharger,SuperCharger,DriveType, SeatingCapacity,SteeringType,Ground Clearance Unladen,CargoVolumn,Insurance Validity,Mileage,Front Brake Type,RearBrakeType,CompressionRatio,Acceleration,Top Speed,city,modelYear,centralVariantId,variantName,price,priceActual,city
0,Petrol,Hatchback,"23,981",Manual,1,1st Owner,Datsun,Datsun RediGO,Drum,Tubeless,16,0.8L Petrol Engine,3,MPFi,5,Red,No,No,2WD,5,Power,185mm,222,Comprehensive,22.7 kmpl,Disc,Drum,10.5,10.94071856,175.7062571,Kolkata,2017,5236,T Option,₹ 2.66 Lakh,645877,Kolkata
0,Petrol,SUV,"25,009",Automatic,1,1st Owner,Hyundai,Hyundai Creta,Drum,Tubeless,17,VTVT Petrol Engine,4,MPFi,5,Grey,No,No,FWD,5,Power,190mm,400,Comprehensive,14.8 kmpl,Disc,Drum,10.5,10.94071856,175.7062571,Kolkata,2018,6432,1.6 SX Automatic,₹ 9.90 Lakh,645877,Kolkata
0,Diesel,MUV,"20,000",Manual,3,3rd Owner,Mahindra,Mahindra Marazzo,Disc,"Tubless, Radial",16,D15 1.5 Liter Diesel Engine,4,CRDi,5,Others,Yes,No,FWD,8,Power,200mm,190,Third Party insurance,17.3 kmpl,Disc,Disc,10.5,10.94071856,175.7062571,Kolkata,2019,6572,M2 8Str BSIV,₹ 9.75 Lakh,645877,Kolkata
0,Petrol,Hatchback,"7,940",Manual,2,2nd Owner,Datsun,Datsun RediGO,Drum,"Tubless, Radial",16,1.0L Petrol Engine,3,MPFi,5,Silver,No,No,2WD,5,Power,185mm,222,Comprehensive,22.5 kmpl,Disc,Drum,10.5,10.94071856,175.7062571,Kolkata,2020,5906,1.0 T Option,₹ 3.89 Lakh,397000,Kolkata
0,Petrol,Sedan,"1,19,236",Manual,1,1st Owner,Maruti,Maruti Swift Dzire,Drum,"Tubeless, Radial",16,1.0L Petrol Engine,4,MPFi,4,Silver,No,No,2WD,5,Electric,160,378,Third Party insurance,22.41 kmpl,Disc,Drum,10.5,10.94071856,175.7062571,Kolkata,2014,10244,VXI,₹ 3.06 Lakh,366000,Kolkata
0,Petrol,Sedan,"84,989",Manual,2,2nd Owner,Maruti,Maruti Swift Dzire,Drum,"Tubeless, Radial",16,1.0L Petrol Engine,4,MPFi,4,Silver,No,No,2WD,5,Electric,160,378,Comprehensive,22.41 kmpl,Disc,Drum,10.5,10.94071856,175.7062571,Kolkata,2014,10244,VXI,₹ 3.14 Lakh,334000,Kolkata
0,Petrol,Sedan,"85,862",Manual,1,1st Owner,Maruti,Maruti Swift Dzire,Drum,"Tubeless, Radial",16,1.0L Petrol Engine,4,MPFi,4,Others,No,No,2WD,5,Electric,160,378,Comprehensive,22.41 kmpl,Disc,Drum,10.5,10.94071856,175.7062571,Kolkata,2015,10244,VXI,₹ 3.42 Lakh,352000,Kolkata
0,Petrol,Sedan,"19,355",Automatic,1,1st Owner,Skoda,Skoda Rapid,Drum,"Tubeless,Radial",15,Petrol Engine,4,MPFI,4,Others,No,No,FWD,5,Power,120mm,460,Comprehensive,14.84 kmpl,Disc,Drum,10.5,10.94071856,185,Kolkata,2019,5496,1.6 MPI AT Ambition BSIV,₹ 7.50 Lakh,842000,Kolkata
0,Petrol,Hatchback,"30,000",Manual,1,1st Owner,Datsun,Datsun RediGO,Drum,"Tubeless,Radial",16,0.8L Petrol Engine,3,MPFi,5,Others,No,No,2WD,5,Power,185mm,222,Third Party insurance,22.7 kmpl,Disc,Drum,10.5,10.94071856,175.7062571,Kolkata,2018,5236,T Option,₹ 2.10 Lakh,645877,Kolkata
0,Petrol,SUV,"64,000",Manual,1,1st Owner,Hyundai,Hyundai Creta,Drum,Tubeless,17,VTVT Petrol Engine,4,MPFI,5,White,No,No,FWD,5,Power,190mm,400,Comprehensive,15.8 kmpl,Disc,Drum,10.5,10.94071856,175.7062571,Kolkata,2018,6433,1.6 SX Option,₹ 8.45 Lakh,645877,Kolkata
0,Cng,Sedan,"13,145",Manual,1,1st Owner,Tata,Tata Tigor,Drum,"Tubeless,Radial",16,1.2L Revotron Engine,3,MPFI,4,Red,No,No,FWD,5,Electric,165,205,Comprehensive,26.49 kmpl,Disc,Drum,10.5,10.94071856,121.92,Kolkata,2022,8767,XZ Plus CNG BSVI,₹ 7.72 Lakh,855000,Kolkata
0,Petrol,SUV,"65,000",Automatic,1,1st Owner,Hyundai,Hyundai Creta,Drum,Tubeless,17,VTVT Petrol Engine,4,MPFi,5,White,No,No,FWD,5,Power,190mm,400,Comprehensive,14.8 kmpl,Disc,Drum,10.5,10.94071856,175.7062571,Kolkata,2018,6432,1.6 SX Automatic,₹ 8.95 Lakh,645877,Kolkata
0,Petrol,MUV,"10,000",Manual,2,2nd Owner,Maruti,Maruti XL6,Leading & Trailing Drum,"Tubeless,Radial",16,K15B Smart Hybrid,4,MPFi,5,Others,No,No,FWD,6,Power,180mm,209,Third Party insurance,19.01 kmpl,Ventilated Disc,Leading & Trailing Drum,10.5,10.94071856,175.7062571,Kolkata,2021,7099,Alpha,₹ 9.50 Lakh,645877,Kolkata
0,Petrol,MUV,"10,000",Manual,2,2nd Owner,Maruti,Maruti XL6,Leading & Trailing Drum,"Tubeless,Radial",16,K15B Smart Hybrid,4,MPFi,5,Others,No,No,FWD,6,Power,180mm,209,Third Party insurance,19.01 kmpl,Ventilated Disc,Leading & Trailing Drum,10.5,10.94071856,175.7062571,Kolkata,2021,7099,Alpha,₹ 9.50 Lakh,645877,Kolkata
0,Diesel,SUV,"48,752",Manual,2,2nd Owner,Hyundai,Hyundai Creta,Drum,Tubeless,16,U2 CRDI Engine,4,CRDi,5,Others,No,No,FWD,5,Power,190mm,400,Comprehensive,22.1 kmpl,Disc,Drum,10.5,10.94071856,175.7062571,Kolkata,2017,8978,1.4 E Plus CRDi,₹ 6.20 Lakh,638000,Kolkata
0,Petrol,Sedan,"42,325",Manual,1,1st Owner,Tata,Tata Tigor,Drum,"Tubeless,Radial",16,1.2L Revotron Engine,3,CRDi,4,Others,No,No,FWD,5,Electric,170,419,Third Party,19.28 kmpl,Disc,Drum,10.5,10.94071856,175.7062571,Kolkata,2021,7372,XZ BSVI,₹ 5.17 Lakh,560000,Kolkata
0,Petrol,Sedan,"70,179",Manual,1,1st Owner,Tata,Tata Tigor,Drum,"Tubeless,Radial",16,1.2L Revotron Engine,3,CRDi,4,White,No,No,FWD,5,Electric,170,419,Third Party,19.28 kmpl,Disc,Drum,10.5,10.94071856,175.7062571,Kolkata,2021,7371,XM BSVI,₹ 5.18 Lakh,532000,Kolkata
0,Diesel,SUV,"20,000",Manual,1,1st Owner,Renault,Renault Captur,Drum,"Radial,Tubeless",16,K9K dCi Diesel Engine,4,CRDi,5,Others,Yes,No,FWD,5,Power,210mm,392,Third Party insurance,20.37 kmpl,Disc,Drum,10.5,13.24,175.7062571,Kolkata,2018,6100,1.5 Diesel RXL,₹ 8 Lakh,645877,Kolkata
0,Petrol,Sedan,"41,565",Manual,2,2nd Owner,Maruti,Maruti Swift Dzire,Drum,"Tubeless, Radial",16,K9K dCi Diesel Engine,4,CRDi,4,Blue,Yes,No,FWD,5,Electric,160,378,Comprehensive,22.41 kmpl,Disc,Drum,10.5,10.94071856,175.7062571,Kolkata,2015,10244,VXI,₹ 3.38 Lakh,343000,Kolkata
0,Diesel,Sedan,"37,243",Automatic,1,1st Owner,Skoda,Skoda Rapid,Drum,"Tubeless,Radial",15,Diesel Engine,4,Direct Injection,4,White,Yes,No,FWD,5,Power,120mm,460,Zero Dep,21.72 kmpl,Disc,Drum,10.5,10.94071856,171.92,Kolkata,2019,3129,1.5 TDI AT Ambition BSIV,₹ 7.94 Lakh,891000,Kolkata
0,Diesel,MUV,"34,000",Manual,1,1st Owner,Toyota,Toyota Innova Crysta,Drum,"Tubeless,Radial",16,2-GD FTV Engine,7,CRDi,5,Purple,Yes,No,RWD,8,Power,178mm,9544.285567,Comprehensive,13.68 kmpl,Disc,Drum,10.5,10.94071856,175.7062571,Kolkata,2018,7314,2.4 VX MT 8 STR,₹ 17.35 Lakh,645877,Kolkata
0,Petrol,SUV,"29,717",Automatic,1,1st Owner,Hyundai,Hyundai Venue,Drum,Radial,16,2-GD FTV Engine,3,GDi,5,Others,Yes,No,FWD,5,Power,190mm,350,Comprehensive,18.15 kmpl,Disc,Drum,10.5,10.94071856,175.7062571,Kolkata,2019,6946,SX Plus Turbo DCT BSIV,₹ 8.53 Lakh,899000,Kolkata
0,Petrol,Sedan,"14,323",Automatic,1,1st Owner,Skoda,Skoda Rapid,Drum,"Tubeless,Radial",16,1.0L TSI Petrol,3,Direct Injection,4,Blue,Yes,No,FWD,5,Power,116mm,460,Comprehensive,16.24 kmpl,Disc,Drum,10.5,10.94071856,175.7062571,Kolkata,2020,7981,1.0 TSI Ambition AT,₹ 9.36 Lakh,974000,Kolkata
0,Petrol,Sedan,"23,684",Manual,1,1st Owner,Maruti,Maruti Swift Dzire,Drum,"Tubeless, Radial",15,1.0L TSI Petrol,4,Direct Injection,4,Brown,Yes,No,FWD,5,Electric,160,378,Comprehensive,22.41 kmpl,Disc,Drum,10.5,10.94071856,175.7062571,Kolkata,2022,7711,ZXI Plus BSVI,₹ 8.50 Lakh,645877,Kolkata
0,Petrol,SUV,"12,059",Manual,1,1st Owner,Skoda,Skoda Kushaq,Drum,"Tubeless, Radial",17,1.0 TSI Petrol Engine,3,TSI,5,White,Yes,No,FWD,5,Electric,155mm,3851405,Comprehensive,19.2 kmpl,Disc,Drum,10.5,10.94071856,175.7062571,Kolkata,2021,8479,1.0 TSI Style BSVI,₹ 13.75 Lakh,645877,Kolkata
0,Petrol,SUV,"36,397",Automatic,1,1st Owner,Hyundai,Hyundai Venue,Drum,Radial,16,1.0 TSI Petrol Engine,3,GDi,5,White,Yes,No,FWD,5,Power,190mm,350,Third Party,18.15 kmpl,Disc,Drum,10.5,10.94071856,175.7062571,Kolkata,2020,6946,SX Plus Turbo DCT BSIV,₹ 9.51 Lakh,645877,Kolkata
